<http://www.yso.fi/onto/yso/p1043>	föredöme
<http://www.yso.fi/onto/yso/p10430>	åkermolke
<http://www.yso.fi/onto/yso/p10431>	molkar
<http://www.yso.fi/onto/yso/p10432>	sengångare
<http://www.yso.fi/onto/yso/p10433>	impregnering
<http://www.yso.fi/onto/yso/p10434>	träskydd
<http://www.yso.fi/onto/yso/p10435>	bomull
<http://www.yso.fi/onto/yso/p10436>	spånadsväxter
<http://www.yso.fi/onto/yso/p10437>	naturfibrer
<http://www.yso.fi/onto/yso/p10438>	församlingsgårdar
<http://www.yso.fi/onto/yso/p10439>	leksaksindustri
<http://www.yso.fi/onto/yso/p1044>	värden
<http://www.yso.fi/onto/yso/p10440>	insekticider
<http://www.yso.fi/onto/yso/p10441>	bekämpningsmedel
<http://www.yso.fi/onto/yso/p10442>	österbottnisk identitet
<http://www.yso.fi/onto/yso/p10443>	österbottningar
<http://www.yso.fi/onto/yso/p10444>	Brändö gård
<http://www.yso.fi/onto/yso/p10445>	skakning
<http://www.yso.fi/onto/yso/p10446>	agens
<http://www.yso.fi/onto/yso/p10447>	yrkesklassificeringar
<http://www.yso.fi/onto/yso/p10448>	gårdsbygge
<http://www.yso.fi/onto/yso/p10449>	grönanläggningar
<http://www.yso.fi/onto/yso/p1045>	goda livet
<http://www.yso.fi/onto/yso/p10450>	hebreiska
<http://www.yso.fi/onto/yso/p10451>	låg nyttjandegrad
<http://www.yso.fi/onto/yso/p10452>	distriktsförvaltning
<http://www.yso.fi/onto/yso/p10453>	biodling (ekonomi)
<http://www.yso.fi/onto/yso/p10454>	lokförare
