<http://www.yso.fi/onto/yso/p10262>	letkuruokinta
<http://www.yso.fi/onto/yso/p10263>	pakkoruokinta
<http://www.yso.fi/onto/yso/p10264>	ampujat
<http://www.yso.fi/onto/yso/p10265>	uhraaminen
<http://www.yso.fi/onto/yso/p10266>	totemismi
<http://www.yso.fi/onto/yso/p10267>	antroposofit
<http://www.yso.fi/onto/yso/p10268>	putoaminen
<http://www.yso.fi/onto/yso/p10269>	REM-uni
<http://www.yso.fi/onto/yso/p1027>	peilit
<http://www.yso.fi/onto/yso/p10270>	suoriutuminen
<http://www.yso.fi/onto/yso/p10271>	Länsirannikon ralli
<http://www.yso.fi/onto/yso/p10272>	syytetyt
<http://www.yso.fi/onto/yso/p10273>	asianosaiset
<http://www.yso.fi/onto/yso/p10274>	visuaalinen kulttuuri
<http://www.yso.fi/onto/yso/p10275>	hopeatyöt
<http://www.yso.fi/onto/yso/p10276>	suomalmit
<http://www.yso.fi/onto/yso/p10277>	järvimalmit
<http://www.yso.fi/onto/yso/p10278>	determinismi
<http://www.yso.fi/onto/yso/p10279>	fatalismi
<http://www.yso.fi/onto/yso/p1028>	oppilaitokset
<http://www.yso.fi/onto/yso/p10280>	sattuma
<http://www.yso.fi/onto/yso/p10281>	munkkihylkeet
<http://www.yso.fi/onto/yso/p10282>	uikkulinnut
<http://www.yso.fi/onto/yso/p10283>	syksy
<http://www.yso.fi/onto/yso/p10284>	karsinta (metsätalous)
<http://www.yso.fi/onto/yso/p10285>	Tampere-Pirkkalan lentoasema
<http://www.yso.fi/onto/yso/p10286>	skrapi
<http://www.yso.fi/onto/yso/p10287>	Töllinmäki
<http://www.yso.fi/onto/yso/p10289>	emergenssi
<http://www.yso.fi/onto/yso/p1029>	taidekorkeakoulut
<http://www.yso.fi/onto/yso/p10290>	ajoitus (historia)
<http://www.yso.fi/onto/yso/p10291>	sufilaisuus
<http://www.yso.fi/onto/yso/p10292>	trumpetti
<http://www.yso.fi/onto/yso/p10293>	Ohmin laki
<http://www.yso.fi/onto/yso/p10294>	tarjoilu
<http://www.yso.fi/onto/yso/p10295>	kykladinen kulttuuri
<http://www.yso.fi/onto/yso/p10296>	toukat
<http://www.yso.fi/onto/yso/p10298>	vaahdot
<http://www.yso.fi/onto/yso/p103>	radio-ohjelmat
<http://www.yso.fi/onto/yso/p1030>	korkeakoulut
<http://www.yso.fi/onto/yso/p10300>	striptease
<http://www.yso.fi/onto/yso/p10301>	etnobotaniikka
<http://www.yso.fi/onto/yso/p10302>	kantohinnat
<http://www.yso.fi/onto/yso/p10303>	puhelinkäyttäytyminen
<http://www.yso.fi/onto/yso/p10304>	saostus
<http://www.yso.fi/onto/yso/p10305>	nokkahuilu
<http://www.yso.fi/onto/yso/p10306>	huilu
<http://www.yso.fi/onto/yso/p10307>	huilusoittimet
<http://www.yso.fi/onto/yso/p10308>	riisto
<http://www.yso.fi/onto/yso/p10309>	metsätalousinsinöörit
<http://www.yso.fi/onto/yso/p1031>	korkeakoululaitos
<http://www.yso.fi/onto/yso/p10310>	kampaukset
<http://www.yso.fi/onto/yso/p10311>	kansainvälinen velvoiteoikeus
<http://www.yso.fi/onto/yso/p10312>	velvoiteoikeus
<http://www.yso.fi/onto/yso/p10313>	lähetteet
<http://www.yso.fi/onto/yso/p10315>	tiedelehdet
<http://www.yso.fi/onto/yso/p10316>	umpisuoli
<http://www.yso.fi/onto/yso/p10317>	suolisto
<http://www.yso.fi/onto/yso/p10318>	veda-uskonto
<http://www.yso.fi/onto/yso/p10319>	kylmä sota
<http://www.yso.fi/onto/yso/p1032>	kohdentaminen
<http://www.yso.fi/onto/yso/p10320>	valutuotteet
<http://www.yso.fi/onto/yso/p10321>	työluvat
<http://www.yso.fi/onto/yso/p10322>	ulkomainen työvoima
<http://www.yso.fi/onto/yso/p10323>	pommitukset
<http://www.yso.fi/onto/yso/p10324>	muinaisranska
<http://www.yso.fi/onto/yso/p10325>	ranskan kieli
<http://www.yso.fi/onto/yso/p10326>	muinaiskielet
<http://www.yso.fi/onto/yso/p10327>	metsätulot
<http://www.yso.fi/onto/yso/p10328>	maataloustulo
<http://www.yso.fi/onto/yso/p10329>	matriisilaskenta
<http://www.yso.fi/onto/yso/p1033>	allokointi
<http://www.yso.fi/onto/yso/p10330>	palkokasvit
<http://www.yso.fi/onto/yso/p10331>	tilikirjat
<http://www.yso.fi/onto/yso/p10332>	Patvinsuon kansallispuisto
<http://www.yso.fi/onto/yso/p10333>	Oulun lentoasema
<http://www.yso.fi/onto/yso/p10334>	kognitiivinen kirjallisuudentutkimus
<http://www.yso.fi/onto/yso/p10335>	antropometria
<http://www.yso.fi/onto/yso/p10336>	turve
<http://www.yso.fi/onto/yso/p10337>	kiinteät polttoaineet
<http://www.yso.fi/onto/yso/p10338>	kuritus
<http://www.yso.fi/onto/yso/p10339>	tolteekit
<http://www.yso.fi/onto/yso/p1034>	kohdentuminen
<http://www.yso.fi/onto/yso/p10341>	boakäärmeet
<http://www.yso.fi/onto/yso/p10342>	käärmeet
<http://www.yso.fi/onto/yso/p10343>	pikkuplaneetat
<http://www.yso.fi/onto/yso/p10344>	työkierto
<http://www.yso.fi/onto/yso/p10345>	osaamisen siirto
<http://www.yso.fi/onto/yso/p10346>	novat
<http://www.yso.fi/onto/yso/p10347>	supernovat
<http://www.yso.fi/onto/yso/p10348>	rangaistusmääräysmenettely
<http://www.yso.fi/onto/yso/p10349>	bordellit
<http://www.yso.fi/onto/yso/p1035>	gastroskopia
<http://www.yso.fi/onto/yso/p10350>	naiskauppa
<http://www.yso.fi/onto/yso/p10351>	prostituoidut
<http://www.yso.fi/onto/yso/p10352>	lapsikauppa
<http://www.yso.fi/onto/yso/p10353>	doktriinit
<http://www.yso.fi/onto/yso/p10354>	luonnonmuistomerkit
<http://www.yso.fi/onto/yso/p10355>	Moision kartano
<http://www.yso.fi/onto/yso/p10357>	nuorisosihteerit
<http://www.yso.fi/onto/yso/p10358>	toimintakeskukset
<http://www.yso.fi/onto/yso/p10359>	nefroblastooma
<http://www.yso.fi/onto/yso/p1036>	tähystys
<http://www.yso.fi/onto/yso/p10360>	sisäinen turvallisuus
<http://www.yso.fi/onto/yso/p10361>	hyväksyminen
<http://www.yso.fi/onto/yso/p10362>	meemit
<http://www.yso.fi/onto/yso/p10363>	tullimiehet
<http://www.yso.fi/onto/yso/p10364>	lauselogiikka
<http://www.yso.fi/onto/yso/p10365>	predikaattilogiikka
<http://www.yso.fi/onto/yso/p10366>	ostaminen
<http://www.yso.fi/onto/yso/p10367>	laakerit
<http://www.yso.fi/onto/yso/p10368>	täydennysrakentaminen
<http://www.yso.fi/onto/yso/p10369>	hukkakaura
